from;to;status;distance;time
Napoli;Terni;OK;300794;10395
Napoli;Brindisi;OK;375251;14796
Napoli;Lecce;OK;410625;16197
Napoli;Taranto;OK;344986;14429
Napoli;Andria;OK;210425;8762
Napoli;Trani;OK;220670;9245
Napoli;Avellino;OK;57966;2586
Napoli;Benevento;OK;71635;3727
Napoli;Caserta;OK;34809;1600
Napoli;Salerno;OK;60029;2772
Napoli;Forlì;OK;548684;19802
Napoli;Modena;OK;604346;19982
Napoli;Parma;OK;656988;21662
Napoli;Ravenna;OK;563027;20317
Napoli;Rimini;OK;517478;18780
Napoli;Ascoli Piceno;OK;322383;12183
Napoli;Macerata;OK;407297;14902
Napoli;Urbino;OK;459599;18296
Napoli;Fermo;OK;370884;13314
Napoli;Chieti;OK;278703;10426
Napoli;Teramo;OK;288249;10203
Napoli;Frosinone;OK;144381;4601
Napoli;Latina;OK;191057;7221
Napoli;Rieti;OK;290448;10077
Napoli;Viterbo;OK;305260;10765
Napoli;Nuoro;OK;695385;18416
Napoli;Sassari;OK;806579;23770
Napoli;Carbonia;OK;810865;23869
Napoli;Iglesias;OK;788173;22827
Napoli;Sanluri;OK;740133;20461
Napoli;Villacidro;OK;767948;21837
Napoli;Lanusei;OK;622718;14741
Napoli;Tortolì;OK;604672;13898
Napoli;Olbia;OK;763441;21453
Napoli;Tempio Pausania;OK;804546;23658
Napoli;Ferrara;OK;620672;20229
Napoli;Pesaro;OK;487044;17743
Napoli;Padova;OK;691604;22286
Napoli;Barletta;OK;209679;8836
Napoli;Foggia;OK;176152;7413
Napoli;Oristano;OK;776472;21914
Napoli;Pisa;OK;552039;18361
Napoli;Livorno;OK;560919;18834
Napoli;Nice;OK;871295;30377
Napoli;Siracusa;OK;656190;31502
Napoli;Piacenza;OK;711462;22690
Napoli;Bergamo;OK;799630;26018
Campobasso;L'Aquila;OK;272566;10304
Campobasso;Catanzaro;OK;480153;21223
Campobasso;Potenza;OK;194070;10274
Campobasso;Palermo;OK;457031;38135
Campobasso;Napoli;OK;133553;7413
Campobasso;Trento;OK;753270;26418
Campobasso;Genova;OK;710695;26149
Campobasso;Bologna;OK;528747;19623
Campobasso;Firenze;OK;476281;17691
Campobasso;Venezia;OK;677386;23912
Campobasso;Torino;OK;859674;31093
Campobasso;Trieste;OK;832151;28855
Campobasso;Bari;OK;218467;10299
Campobasso;Cagliari;OK;749225;23636
Campobasso;Roma;OK;225515;10076
Campobasso;Milano;OK;740639;26113
Campobasso;Ancona;OK;325958;11813
Campobasso;Aosta;OK;925262;33502
Campobasso;Perugia;OK;374490;15563
Campobasso;Arezzo;OK;420457;16049
Campobasso;Grosseto;OK;405291;17101
Campobasso;Massa;OK;596295;21542
Campobasso;Pistoia;OK;515134;18788
Campobasso;Prato;OK;498536;18406
Campobasso;Siena;OK;450055;17211
Campobasso;Brescia;OK;723739;25801
Campobasso;Como;OK;792823;27882
Campobasso;Cremona;OK;708867;25333
Campobasso;Lecco;OK;792404;28109
Campobasso;Lodi;OK;716280;25319
Campobasso;Mantova;OK;638959;23117
Campobasso;Pavia;OK;729513;26465
Campobasso;Sondrio;OK;871962;31783
Campobasso;Varese;OK;800869;28187
Campobasso;Monza;OK;752828;26512
Campobasso;Alessandria;OK;777009;27865
Campobasso;Asti;OK;812676;29093
Campobasso;Biella;OK;842772;30382
Campobasso;Cuneo;OK;850804;31747
Campobasso;Novara;OK;794194;28623
Campobasso;Verbania;OK;845218;30207
Campobasso;Vercelli;OK;825249;29626
Campobasso;Bolzano - Bozen;OK;809317;28616
Campobasso;Belluno;OK;768387;26599
Campobasso;Rovigo;OK;603032;21602
Campobasso;Treviso;OK;692263;24444
Campobasso;Verona;OK;671288;24137
Campobasso;Vicenza;OK;673371;23936
Campobasso;Gorizia;OK;802825;28446
Campobasso;Pordenone;OK;749846;25847
Campobasso;Udine;OK;792065;27738
Campobasso;Imperia;OK;827311;30730
Campobasso;La Spezia;OK;624324;22614
Campobasso;Savona;OK;751932;27750
Campobasso;Agrigento;OK;823992;40939
Campobasso;Caltanissetta;OK;773523;37801
Campobasso;Catania;OK;664240;33450
Campobasso;Enna;OK;748160;36946
Campobasso;Messina;OK;568651;29310
Campobasso;Ragusa;OK;770101;38788
Campobasso;Trapani;OK;557080;42080
Campobasso;Reggio di Calabria;OK;570843;24687
Campobasso;Cosenza;OK;387164;17507
Campobasso;Crotone;OK;465656;22464
Campobasso;Vibo Valentia;OK;481757;21791
Campobasso;Matera;OK;243019;12385
Campobasso;Isernia;OK;52250;3149
Campobasso;Terni;OK;305548;12932
Campobasso;Brindisi;OK;332675;14279
Campobasso;Lecce;OK;368048;15681
Campobasso;Taranto;OK;302410;13913
Campobasso;Andria;OK;167848;8246
Campobasso;Trani;OK;174670;8711
Campobasso;Avellino;OK;97630;5973
Campobasso;Benevento;OK;68124;4073
Campobasso;Caserta;OK;107727;6474
Campobasso;Salerno;OK;134189;7255
Campobasso;Forlì;OK;472452;17541
Campobasso;Modena;OK;572724;21540
Campobasso;Parma;OK;625367;23219
Campobasso;Ravenna;OK;477928;17679
Campobasso;Rimini;OK;419630;15287
Campobasso;Ascoli Piceno;OK;261261;9603
Campobasso;Macerata;OK;309450;11410
Campobasso;Urbino;OK;415477;15326
Campobasso;Fermo;OK;273036;9822
Campobasso;Chieti;OK;171206;6867
Campobasso;Teramo;OK;229853;8672
Campobasso;Frosinone;OK;149135;7139
Campobasso;Latina;OK;195811;9758
Campobasso;Rieti;OK;332060;12409
Campobasso;Viterbo;OK;310014;13302
Campobasso;Nuoro;OK;700139;20954
Campobasso;Sassari;OK;811333;26307
Campobasso;Carbonia;OK;815619;26406
Campobasso;Iglesias;OK;792927;25364
Campobasso;Sanluri;OK;744887;22999
Campobasso;Villacidro;OK;772702;24374
Campobasso;Lanusei;OK;627472;17278
Campobasso;Tortolì;OK;609426;16436
Campobasso;Olbia;OK;768195;23990
Campobasso;Tempio Pausania;OK;809300;26196
Campobasso;Ferrara;OK;570151;20927
Campobasso;Pesaro;OK;389196;14251
Campobasso;Padova;OK;641083;22984
Campobasso;Barletta;OK;162662;8197
Campobasso;Foggia;OK;87977;4842
Campobasso;Oristano;OK;781226;24451
Campobasso;Pisa;OK;556793;20899
Campobasso;Livorno;OK;565673;21372
Campobasso;Nice;OK;876048;32915
Campobasso;Siracusa;OK;729166;35933
Campobasso;Piacenza;OK;679841;24247
Campobasso;Bergamo;OK;768008;27575
Trento;L'Aquila;OK;677038;21393
Trento;Catanzaro;OK;1173383;40658
Trento;Potenza;OK;878572;31749
Trento;Palermo;OK;1108932;55732
