from,to,status,distance210913,time210913,distance030813,time030813,distDiff,timeDiff
L'Aquila,Firenze,OK,363757,11733,363911,11738,-154,-5
L'Aquila,Milano,OK,664433,21127,611289,21391,53144,-264
L'Aquila,Torino,OK,783468,26107,730325,26368,53143,-261
L'Aquila,Trento,OK,677064,21432,623922,21693,53142,-261
L'Aquila,Venezia,OK,548089,19191,547511,19142,578,49
L'Aquila,Trieste,OK,702855,24133,702776,24499,79,-366
L'Aquila,Genova,OK,598114,20182,597941,20186,173,-4
L'Aquila,Palermo,OK,550478,39687,928235,41834,-377757,-2147
L'Aquila,Catanzaro,OK,614930,24612,615313,24640,-383,-28
L'Aquila,Potenza,OK,394159,15516,378946,15465,15213,51
L'Aquila,Campobasso,OK,227349,10571,191128,10508,36221,63
L'Aquila,Perugia,OK,173842,8178,173579,8180,263,-2
L'Aquila,Bari,OK,407616,14891,392404,14840,15212,51
L'Aquila,Ancona,OK,196662,7092,196621,7089,41,3
L'Aquila,Cagliari,OK,651467,18170,724906,182105,-73439,-163935
L'Aquila,Aosta,OK,849056,28516,795882,28781,53174,-265
L'Aquila,Napoli,OK,226999,8964,226806,8969,193,-5
L'Aquila,Bologna,OK,399450,14901,399398,14898,52,3
Cagliari,Roma,OK,526293,14240,597244,177974,-70951,-163734
Cagliari,Firenze,OK,712472,20764,783750,184498,-71278,-163734
Cagliari,Milano,OK,1013149,30158,1084023,194373,-70874,-164215
Cagliari,Torino,OK,1132183,35138,1203058,199350,-70875,-164212
Cagliari,Trento,OK,1025780,30463,1096655,194676,-70875,-164213
Cagliari,Venezia,OK,968794,28817,1039144,192885,-70350,-164068
Cagliari,Trieste,OK,1123560,33760,1194409,198243,-70849,-164483
Cagliari,Genova,OK,946829,29213,1017780,192946,-70951,-163733
Cagliari,Palermo,OK,423879,43865,1512398,217133,-1088519,-173268
Cagliari,Catanzaro,OK,1127947,36181,1199476,199938,-71529,-163757
Cagliari,Potenza,OK,894349,27328,965302,191063,-70953,-163735
